name,genre,year,score,votes,budget,gross,runtime
Capharnaüm,Drama,2018,8.4,71000,4000000,64417003,126
Adrift,Action,2018,6.6,50000,35000000,59945012,96
"Love, Simon",Comedy,2018,7.6,104000,17000000,66316289,110
Mary Poppins Returns,Comedy,2018,6.7,80000,130000000,349546142,130
Bumblebee,Action,2018,6.7,147000,135000000,467989645,114
Vice,Biography,2018,7.2,130000,60000000,76073488,132
Hotel Transylvania 3: Summer Vacation,Animation,2018,6.3,62000,80000000,528583774,97
Mile 22,Action,2018,6.1,72000,50000000,66308758,94
Peter Rabbit,Animation,2018,6.6,38000,50000000,351496066,95
12 Strong,Action,2018,6.6,72000,35000000,67450815,130
The Spy Who Dumped Me,Action,2018,6.1,72000,40000000,75339459,117
Upgrade,Action,2018,7.5,168000,5000000,16706680,100
Mary Queen of Scots,Biography,2018,6.3,45000,25000000,46712809,124
Ralph Breaks the Internet,Animation,2018,7,140000,175000000,529323962,112
Overlord,Action,2018,6.6,91000,38000000,41657844,110
Tomb Raider,Action,2018,6.3,197000,94000000,274650803,119
The Girl in the Spider's Web,Action,2018,6.1,44000,43000000,35164920,115
Mortal Engines,Action,2018,6.1,115000,100000000,83869818,128
Maze Runner: The Death Cure,Action,2018,6.3,121000,62000000,288175335,143
First Man,Biography,2018,7.3,176000,59000000,105713218,141
Creed II,Drama,2018,7.1,111000,50000000,214215889,130
Rampage,Action,2018,6.1,151000,120000000,428028233,107
Mid90s,Comedy,2018,7.4,54000,10000000,9303022,85
Replicas,Drama,2018,5.5,34000,30000000,9330075,107
Widows,Crime,2018,6.9,91000,42000000,75984700,129
Searching,Drama,2018,7.6,148000,880000,75462037,102
Life Itself,Drama,2018,6.9,19000,10000000,7997774,117
Blockers,Comedy,2018,6.2,74000,21000000,94019120,102
The Strangers: Prey at Night,Horror,2018,5.2,28000,5000000,31039126,85
Peppermint,Action,2018,6.5,60000,25000000,53918723,101
Every Day,Drama,2018,6.5,20000,4900000,10421847,97
Operation Finale,Biography,2018,6.6,36000,24000000,17612099,122
The Sisters Brothers,Crime,2018,7,58000,38000000,13143056,122
I Feel Pretty,Comedy,2018,5.5,51000,32000000,94539426,110
Hotel Artemis,Action,2018,6.1,49000,15000000,13313581,94
Slender Man,Horror,2018,3.2,30000,10000000,51738549,93
Book Club,Comedy,2018,6.1,26000,10000000,104438188,104
Sorry to Bother You,Comedy,2018,6.9,69000,3200000,18170707,112
Pacific Rim: Uprising,Action,2018,5.6,110000,150000000,290930148,111
Holmes & Watson,Comedy,2018,3.8,33000,42000000,40466970,90
The Darkest Minds,Action,2018,5.7,30000,34000000,41142379,104
Truth or Dare,Horror,2018,5.2,50000,3500000,95330710,100
Alpha,Action,2018,6.7,58000,51000000,98203196,96
Overboard,Comedy,2018,6,36000,12000000,91244913,112
Arctic,Adventure,2018,6.8,46000,2000000,4165776,98
A Wrinkle in Time,Adventure,2018,4.2,42000,100000000,132675864,109
London Fields,Crime,2018,4,7800,8000000,487420,118
Andhadhun,Crime,2018,8.2,79000,4500000,62475342,139
Life of the Party,Comedy,2018,5.6,35000,30000000,65859911,105
The House with a Clock in Its Walls,Comedy,2018,6.1,48000,42000000,131523093,105
Brian Banks,Biography,2018,7.2,5400,10000000,4376819,99
Gotti,Biography,2018,4.7,14000,10000000,6412349,112
Christopher Robin,Adventure,2018,7.3,72000,75000000,197744377,104
Destroyer,Action,2018,6.2,27000,9000000,5580940,121
Insidious: The Last Key,Horror,2018,5.7,55000,10000000,167885588,103
Can You Ever Forgive Me?,Biography,2018,7.1,49000,10000000,12442161,106
Unsane,Drama,2018,6.4,42000,1500000,14293601,98
Boy Erased,Biography,2018,6.9,35000,11000000,11853081,115
Johnny English Strikes Again,Action,2018,6.2,67000,25000000,158972499,89
Skyscraper,Action,2018,5.8,111000,125000000,304868961,102
Forever My Girl,Comedy,2018,6.7,16000,3500000,16376066,108
On the Basis of Sex,Biography,2018,7.1,31000,20000000,38755900,120
The Catcher Was a Spy,Biography,2018,6.2,8500,14000000,953953,94
Welcome to Marwen,Biography,2018,6.2,21000,39000000,13061491,116
Assassination Nation,Action,2018,6,17000,7000000,2584988,108
Unfriended: Dark Web,Horror,2018,6,29000,1000000,16024987,92
The Nutcracker and the Four Realms,Adventure,2018,5.6,30000,120000000,173961069,99
The Happytime Murders,Action,2018,5.4,26000,40000000,27506452,91
Tully,Comedy,2018,7,55000,13000000,15636462,95
Night School,Comedy,2018,5.6,38000,29000000,103105878,111
Smallfoot,Animation,2018,6.6,36000,80000000,214040103,96
Hell Fest,Horror,2018,5.5,15000,5500000,18160930,89
Second Act,Comedy,2018,5.8,24000,16000000,72294066,103
Uncle Drew,Comedy,2018,5.8,13000,19000000,46664414,103
The Possession of Hannah Grace,Horror,2018,5.2,20000,7700000,43016528,86
If Beale Street Could Talk,Drama,2018,7.1,45000,12000000,20596567,119
The Grinch,Animation,2018,6.3,58000,75000000,512492755,85
Winchester,Biography,2018,5.5,32000,3500000,44019588,99
The 15:17 to Paris,Biography,2018,5.3,30000,30000000,57076286,94
Action Point,Comedy,2018,5.1,11000,19000000,5103663,85
Super Troopers 2,Comedy,2018,6.1,25000,13500000,31626386,99
The Death & Life of John F. Donovan,Drama,2018,6.2,5900,35000000,3326364,123
Stan & Ollie,Biography,2018,7.2,34000,10000000,24420923,98
SuperFly,Action,2018,5.2,6500,16000000,20780685,116
Early Man,Animation,2018,6.1,21000,50000000,54622814,89
I Can Only Imagine,Biography,2018,7.3,15000,7000000,86086881,110
Dragon Ball Super: Broly,Animation,2018,7.8,24000,8500000,115757940,100
Kin,Action,2018,5.8,16000,30000000,10313019,102
Goosebumps 2: Haunted Halloween,Animation,2018,5.6,19000,35000000,93320380,90
Nobody's Fool,Comedy,2018,4.9,7000,19000000,33705333,110
Midsommar,Drama,2019,7.1,232000,9000000,47967636,148
Once Upon a Time... In Hollywood,Comedy,2019,7.6,603000,90000000,374565754,161
Avengers: Endgame,Action,2019,8.4,903000,356000000,2797501328,181
Fighting with My Family,Biography,2019,7.1,71000,11000000,40811919,108
Little Women,Drama,2019,7.8,159000,40000000,216601214,135
Escape Room,Action,2019,6.4,97000,9000000,155712077,99
Joker,Crime,2019,8.4,1000000,55000000,1074427370,122
Yesterday,Comedy,2019,6.8,131000,26000000,153193369,116
Parasite,Comedy,2019,8.6,631000,11400000,258908054,132
John Wick: Chapter 3 - Parabellum,Action,2019,7.4,296000,75000000,327281779,130
Knives Out,Comedy,2019,7.9,505000,40000000,311539397,130
Fast & Furious Presents: Hobbs & Shaw,Action,2019,6.4,184000,200000000,759056935,137
Captain Marvel,Action,2019,6.8,478000,160000000,1128462972,123
After,Drama,2019,5.3,44000,14000000,69756455,105
Spider-Man: Far from Home,Action,2019,7.5,359000,160000000,1131927996,129
Jojo Rabbit,Comedy,2019,7.9,328000,14000000,90335025,108
Shazam!,Action,2019,7,284000,100000000,365971656,132
It Chapter Two,Drama,2019,6.5,222000,79000000,473093228,169
1917,Drama,2019,8.3,473000,95000000,384623579,119
Star Wars: Episode IX - The Rise of Skywalker,Action,2019,6.5,394000,275000000,1078232589,141
Ford v Ferrari,Action,2019,8.1,323000,97600000,225508210,152
The Irishman,Biography,2019,7.8,344000,159000000,968853,209
Jumanji: The Next Level,Action,2019,6.6,204000,125000000,800059707,123
Alita: Battle Angel,Action,2019,7.3,240000,170000000,404980543,122
Us,Horror,2019,6.8,247000,20000000,255184580,116
Ready or Not,Action,2019,6.9,121000,6000000,57615777,95
Hellboy,Action,2019,5.2,82000,50000000,55065289,120
Terminator: Dark Fate,Action,2019,6.2,159000,185000000,261119292,128
Downton Abbey,Drama,2019,7.4,43000,13000000,237860050,122
Gemini Man,Action,2019,5.7,98000,138000000,173469516,117
Booksmart,Comedy,2019,7.2,102000,6000000,24959607,102
Dora and the Lost City of Gold,Adventure,2019,6.1,27000,49000000,119682635,102
Glass,Drama,2019,6.6,219000,20000000,246999039,129
The Best of Enemies,Biography,2019,7.2,13000,10000000,10209813,133
The Lion King,Animation,2019,6.9,222000,260000000,1670727580,118
Aladdin,Adventure,2019,6.9,239000,183000000,1050693953,128
Marriage Story,Comedy,2019,7.9,265000,18600000,333686,137
Godzilla: King of the Monsters,Action,2019,6,162000,170000000,386600138,132
Rocketman,Biography,2019,7.3,153000,40000000,195179299,121
Hustlers,Comedy,2019,6.3,89000,20000000,157563598,110
Toy Story 4,Animation,2019,7.7,217000,200000000,1073394593,100
Zombieland: Double Tap,Action,2019,6.7,151000,42000000,122810399,99
Long Shot,Comedy,2019,6.8,101000,40000000,53873809,125
Angel Has Fallen,Action,2019,6.4,86000,40000000,146661977,121
Men in Black: International,Action,2019,5.6,119000,110000000,253890701,114
X-Men: Dark Phoenix,Action,2019,5.7,166000,200000000,252442974,113
Frozen II,Animation,2019,6.8,148000,150000000,1450026933,103
Brightburn,Drama,2019,6.1,87000,6000000,32893421,90
Ad Astra,Adventure,2019,6.5,208000,90000000,127461872,123
The Peanut Butter Falcon,Adventure,2019,7.6,73000,6200000,133031473,97
Good Boys,Adventure,2019,6.7,66000,20000000,111037232,90
Ma,Horror,2019,5.6,46000,5000000,61105744,99
Five Feet Apart,Drama,2019,7.2,51000,7000000,91527795,116
Cold Pursuit,Action,2019,6.2,61000,60000000,76419755,119
Crawl,Action,2019,6.1,74000,13500000,91542097,87
Annabelle Comes Home,Horror,2019,5.9,65000,30000000,231252591,106
Rambo: Last Blood,Action,2019,6.1,87000,50000000,91490353,89
Late Night,Comedy,2019,6.5,33000,4000000,22386555,102
The Addams Family,Animation,2019,5.8,31000,24000000,203783566,86
The Goldfinch,Drama,2019,6.3,19000,45000000,9932621,149
A Beautiful Day in the Neighborhood,Biography,2019,7.3,67000,25000000,67760877,109
How to Train Your Dragon: The Hidden World,Animation,2019,7.5,112000,129000000,525683457,104
Pokémon Detective Pikachu,Action,2019,6.6,146000,150000000,433921300,104
Serenity,Drama,2019,5.4,38000,25000000,14454622,106
Maleficent: Mistress of Evil,Adventure,2019,6.6,91000,185000000,491730089,119
The Secret Life of Pets 2,Animation,2019,6.5,55000,80000000,430051293,86
The Curse of la Llorona,Horror,2019,5.3,43000,9000000,123133739,93
Captive State,Action,2019,6,51000,25000000,8808611,109
Scary Stories to Tell in the Dark,Adventure,2019,6.2,66000,25000000,104545505,108
The Intruder,Thriller,2019,5.6,15000,8000000,36599361,102
The Angry Birds Movie 2,Animation,2019,6.4,24000,65000000,147792047,97
What Men Want,Comedy,2019,5.3,26000,20000000,72216294,117
Pet Sematary,Horror,2019,5.7,86000,21000000,113118226,101
47 Meters Down: Uncaged,Adventure,2019,5,23000,12000000,47582563,90
Happy Death Day 2U,Comedy,2019,6.2,64000,9000000,64600152,100
Weathering with You,Animation,2019,7.5,28000,11100000,193457467,112
The Kid,Biography,2019,5.9,7400,8000000,1561698,100
The Lego Movie 2: The Second Part,Animation,2019,6.6,58000,99000000,192306508,107
Child's Play,Drama,2019,5.8,47000,10000000,44907074,90
Dumbo,Adventure,2019,6.3,69000,170000000,353284621,112
The Hustle,Comedy,2019,5.4,51000,21000000,95017038,93
Shaft,Action,2019,6.4,48000,35000000,21360215,111
The Beach Bum,Comedy,2019,5.5,20000,5000000,4554416,95
The Kitchen,Action,2019,5.5,18000,38000000,15980032,102
Stuber,Action,2019,6.2,43000,16000000,32390945,93
The Art of Racing in the Rain,Comedy,2019,7.6,27000,18000000,33766787,109
Blinded by the Light,Comedy,2019,6.9,22000,15000000,18096691,118
"Where'd You Go, Bernadette",Comedy,2019,6.5,19000,20000000,11025353,109
Ip Man 4: The Finale,Action,2019,7,27000,52000000,176345966,107
Abominable,Animation,2019,7,32000,75000000,180314199,97
Isn't It Romantic,Comedy,2019,5.9,65000,31000000,48791187,89
A Dog's Journey,Adventure,2019,7.5,21000,16000000,75741734,109
Don't Let Go,Drama,2019,6.4,8000,5000000,5288011,103
UglyDolls,Animation,2019,5,6100,45000000,32450241,87
Tolkien,Biography,2019,6.8,36000,20000000,9090040,112
Miss Bala,Action,2019,5.8,9900,15000000,15383580,104
A Dog's Way Home,Adventure,2019,6.7,16000,18000000,80708134,96
Wonder Park,Animation,2019,5.9,11000,90000000,119559110,85
Triple Threat,Action,2019,5.6,10000,10000000,345900,96
The Wandering Earth,Action,2019,6,28000,48000000,699992512,125
The Kid Who Would Be King,Action,2019,6,15000,59000000,32140970,120
Missing Link,Animation,2019,6.7,23000,100000000,26565710,93
Breakthrough,Biography,2019,6.3,8800,14000000,50444358,116
Poms,Comedy,2019,6,4700,10000000,16418218,90
Little,Comedy,2019,5.5,12000,20000000,49000667,109
The Prodigy,Fantasy,2019,5.9,24000,6000000,21150265,92
Overcomer,Drama,2019,6.6,4100,5000000,38026103,119
A Madea Family Funeral,Comedy,2019,4.5,4000,20000000,74747725,109
The Sun Is also a Star,Drama,2019,5.9,6600,9000000,6750029,100
K-12,Fantasy,2019,6.5,2500,5000000,359377,96
Unplanned,Biography,2019,5.8,13000,6000000,21354152,109
Mine 9,Drama,2019,6.4,4400,350000,226421,83
Clinton Road,Horror,2019,5.9,1900,2500000,50400,77
High on the Hog,Action,2019,3.5,195,1200000,45696,85
Tenet,Action,2020,7.4,387000,205000000,363656624,150
Birds of Prey,Action,2020,6.1,190000,84500000,201858461,109
The Invisible Man,Drama,2020,7.1,186000,7000000,143151000,124
Bad Boys for Life,Action,2020,6.6,140000,90000000,426505244,124
Sonic the Hedgehog,Action,2020,6.5,102000,85000000,319715683,99
Dolittle,Adventure,2020,5.6,53000,175000000,245487753,101
The Call of the Wild,Adventure,2020,6.8,42000,135000000,111105497,100
The Eight Hundred,Action,2020,6.8,3700,80000000,461421559,149
